MilleParameter                              Sensor          half   trans./rot.     Direction   MP layer ID
         11305         module_L3t_halfmodule_axial             1             1             3             5
         12105         module_L3t_halfmodule_axial             1             2             1             5
         12205         module_L3t_halfmodule_axial             1             2             2             5
         12305         module_L3t_halfmodule_axial             1             2             3             5
         11106        module_L3t_halfmodule_stereo             1             1             1             6
         11206        module_L3t_halfmodule_stereo             1             1             2             6
         11306        module_L3t_halfmodule_stereo             1             1             3             6
         12106        module_L3t_halfmodule_stereo             1             2             1             6
         12206        module_L3t_halfmodule_stereo             1             2             2             6
         12306        module_L3t_halfmodule_stereo             1             2             3             6
         21108         module_L4b_halfmodule_axial             2             1             1             8
         21208         module_L4b_halfmodule_axial             2             1             2             8
         21308         module_L4b_halfmodule_axial             2             1             3             8
         22108         module_L4b_halfmodule_axial             2             2             1             8
         22208         module_L4b_halfmodule_axial             2             2             2             8
         22308         module_L4b_halfmodule_axial             2             2             3             8
         21107        module_L4b_halfmodule_stereo             2             1             1             7
         21207        module_L4b_halfmodule_stereo             2             1             2             7
         21307        module_L4b_halfmodule_stereo             2             1             3             7
         22107        module_L4b_halfmodule_stereo             2             2             1             7
         22207        module_L4b_halfmodule_stereo             2             2             2             7
         22307        module_L4b_halfmodule_stereo             2             2             3             7
         11108         module_L4t_halfmodule_axial             1             1             1             7
         11208         module_L4t_halfmodule_axial             1             1             2             7
         11308         module_L4t_halfmodule_axial             1             1             3             7
         12108         module_L4t_halfmodule_axial             1             2             1             7
         12208         module_L4t_halfmodule_axial             1             2             2             7
         12308         module_L4t_halfmodule_axial             1             2             3             7
         11107        module_L4t_halfmodule_stereo             1             1             1             8
         11207        module_L4t_halfmodule_stereo             1             1             2             8
         11307        module_L4t_halfmodule_stereo             1             1             3             8
         12107        module_L4t_halfmodule_stereo             1             2             1             8
         12207        module_L4t_halfmodule_stereo             1             2             2             8
         12307        module_L4t_halfmodule_stereo             1             2             3             8
         21110    module_L5b_halfmodule_axial_hole             2             1             1            10
         21210    module_L5b_halfmodule_axial_hole             2             1             2            10
         21310    module_L5b_halfmodule_axial_hole             2             1             3            10
         22110    module_L5b_halfmodule_axial_hole             2             2             1            10
         22210    module_L5b_halfmodule_axial_hole             2             2             2            10
         22310    module_L5b_halfmodule_axial_hole             2             2             3            10
         21112    module_L5b_halfmodule_axial_slot             2             1             1            12
         21212    module_L5b_halfmodule_axial_slot             2             1             2            12
         21312    module_L5b_halfmodule_axial_slot             2             1             3            12
         22112    module_L5b_halfmodule_axial_slot             2             2             1            12
         22212    module_L5b_halfmodule_axial_slot             2             2             2            12
         22312    module_L5b_halfmodule_axial_slot             2             2             3            12
         21109   module_L5b_halfmodule_stereo_hole             2             1             1            9
         21209   module_L5b_halfmodule_stereo_hole             2             1             2            9
         21309   module_L5b_halfmodule_stereo_hole             2             1             3            9
         22109   module_L5b_halfmodule_stereo_hole             2             2             1            9
         22209   module_L5b_halfmodule_stereo_hole             2             2             2            9
         22309   module_L5b_halfmodule_stereo_hole             2             2             3            9
         21111   module_L5b_halfmodule_stereo_slot             2             1             1            11
         21211   module_L5b_halfmodule_stereo_slot             2             1             2            11
         21311   module_L5b_halfmodule_stereo_slot             2             1             3            11
         22111   module_L5b_halfmodule_stereo_slot             2             2             1            11
         22211   module_L5b_halfmodule_stereo_slot             2             2             2            11
         22311   module_L5b_halfmodule_stereo_slot             2             2             3            11
         11109    module_L5t_halfmodule_axial_hole             1             1             1            9
         11209    module_L5t_halfmodule_axial_hole             1             1             2            9
         11309    module_L5t_halfmodule_axial_hole             1             1             3            9
         12109    module_L5t_halfmodule_axial_hole             1             2             1            9
         12209    module_L5t_halfmodule_axial_hole             1             2             2            9
         12309    module_L5t_halfmodule_axial_hole             1             2             3            9
         11111    module_L5t_halfmodule_axial_slot             1             1             1            11
         11211    module_L5t_halfmodule_axial_slot             1             1             2            11
         11311    module_L5t_halfmodule_axial_slot             1             1             3            11
         12111    module_L5t_halfmodule_axial_slot             1             2             1            11
         12211    module_L5t_halfmodule_axial_slot             1             2             2            11
         12311    module_L5t_halfmodule_axial_slot             1             2             3            11
         11110   module_L5t_halfmodule_stereo_hole             1             1             1            10
         11210   module_L5t_halfmodule_stereo_hole             1             1             2            10
         11310   module_L5t_halfmodule_stereo_hole             1             1             3            10
         12110   module_L5t_halfmodule_stereo_hole             1             2             1            10
         12210   module_L5t_halfmodule_stereo_hole             1             2             2            10
         12310   module_L5t_halfmodule_stereo_hole             1             2             3            10
         11112   module_L5t_halfmodule_stereo_slot             1             1             1            12
         11212   module_L5t_halfmodule_stereo_slot             1             1             2            12
         11312   module_L5t_halfmodule_stereo_slot             1             1             3            12
         12112   module_L5t_halfmodule_stereo_slot             1             2             1            12
         12212   module_L5t_halfmodule_stereo_slot             1             2             2            12
         12312   module_L5t_halfmodule_stereo_slot             1             2             3            12
         21114    module_L6b_halfmodule_axial_hole             2             1             1            14
         21214    module_L6b_halfmodule_axial_hole             2             1             2            14
         21314    module_L6b_halfmodule_axial_hole             2             1             3            14
         22114    module_L6b_halfmodule_axial_hole             2             2             1            14
         22214    module_L6b_halfmodule_axial_hole             2             2             2            14
         22314    module_L6b_halfmodule_axial_hole             2             2             3            14
         21116    module_L6b_halfmodule_axial_slot             2             1             1            16
         21216    module_L6b_halfmodule_axial_slot             2             1             2            16
         21316    module_L6b_halfmodule_axial_slot             2             1             3            16
         22116    module_L6b_halfmodule_axial_slot             2             2             1            16
         22216    module_L6b_halfmodule_axial_slot             2             2             2            16
         22316    module_L6b_halfmodule_axial_slot             2             2             3            16
         21113   module_L6b_halfmodule_stereo_hole             2             1             1            13
         21213   module_L6b_halfmodule_stereo_hole             2             1             2            13
         21313   module_L6b_halfmodule_stereo_hole             2             1             3            13
         22113   module_L6b_halfmodule_stereo_hole             2             2             1            13
         22213   module_L6b_halfmodule_stereo_hole             2             2             2            13
         22313   module_L6b_halfmodule_stereo_hole             2             2             3            13
         21115   module_L6b_halfmodule_stereo_slot             2             1             1            15
         21215   module_L6b_halfmodule_stereo_slot             2             1             2            15
         21315   module_L6b_halfmodule_stereo_slot             2             1             3            15
         22115   module_L6b_halfmodule_stereo_slot             2             2             1            15
         22215   module_L6b_halfmodule_stereo_slot             2             2             2            15
         22315   module_L6b_halfmodule_stereo_slot             2             2             3            15
         11113    module_L6t_halfmodule_axial_hole             1             1             1            13
         11213    module_L6t_halfmodule_axial_hole             1             1             2            13
         11313    module_L6t_halfmodule_axial_hole             1             1             3            13
         12113    module_L6t_halfmodule_axial_hole             1             2             1            13
         12213    module_L6t_halfmodule_axial_hole             1             2             2            13
         12313    module_L6t_halfmodule_axial_hole             1             2             3            13
         11115    module_L6t_halfmodule_axial_slot             1             1             1            15
         11215    module_L6t_halfmodule_axial_slot             1             1             2            15
         11315    module_L6t_halfmodule_axial_slot             1             1             3            15
         12115    module_L6t_halfmodule_axial_slot             1             2             1            15
         12215    module_L6t_halfmodule_axial_slot             1             2             2            15
         12315    module_L6t_halfmodule_axial_slot             1             2             3            15
         11114   module_L6t_halfmodule_stereo_hole             1             1             1            14
         11214   module_L6t_halfmodule_stereo_hole             1             1             2            14
         11314   module_L6t_halfmodule_stereo_hole             1             1             3            14
         12114   module_L6t_halfmodule_stereo_hole             1             2             1            14
         12214   module_L6t_halfmodule_stereo_hole             1             2             2            14
         12314   module_L6t_halfmodule_stereo_hole             1             2             3            14
         11116   module_L6t_halfmodule_stereo_slot             1             1             1            16
         11216   module_L6t_halfmodule_stereo_slot             1             1             2            16
         11316   module_L6t_halfmodule_stereo_slot             1             1             3            16
         12116   module_L6t_halfmodule_stereo_slot             1             2             1            16
         12216   module_L6t_halfmodule_stereo_slot             1             2             2            16
         12316   module_L6t_halfmodule_stereo_slot             1             2             3            16
         21118    module_L7b_halfmodule_axial_hole             2             1             1            18
         21218    module_L7b_halfmodule_axial_hole             2             1             2            18
         21318    module_L7b_halfmodule_axial_hole             2             1             3            18
         22118    module_L7b_halfmodule_axial_hole             2             2             1            18
         22218    module_L7b_halfmodule_axial_hole             2             2             2            18
         22318    module_L7b_halfmodule_axial_hole             2             2             3            18
         21120    module_L7b_halfmodule_axial_slot             2             1             1            20
         21220    module_L7b_halfmodule_axial_slot             2             1             2            20
         21320    module_L7b_halfmodule_axial_slot             2             1             3            20
         22120    module_L7b_halfmodule_axial_slot             2             2             1            20
         22220    module_L7b_halfmodule_axial_slot             2             2             2            20
         22320    module_L7b_halfmodule_axial_slot             2             2             3            20
         21117   module_L7b_halfmodule_stereo_hole             2             1             1            17
         21217   module_L7b_halfmodule_stereo_hole             2             1             2            17
         21317   module_L7b_halfmodule_stereo_hole             2             1             3            17
         22117   module_L7b_halfmodule_stereo_hole             2             2             1            17
         22217   module_L7b_halfmodule_stereo_hole             2             2             2            17
         22317   module_L7b_halfmodule_stereo_hole             2             2             3            17
         21119   module_L7b_halfmodule_stereo_slot             2             1             1            19
         21219   module_L7b_halfmodule_stereo_slot             2             1             2            19
         21319   module_L7b_halfmodule_stereo_slot             2             1             3            19
         22119   module_L7b_halfmodule_stereo_slot             2             2             1            19
         22219   module_L7b_halfmodule_stereo_slot             2             2             2            19
         22319   module_L7b_halfmodule_stereo_slot             2             2             3            19
         11117    module_L7t_halfmodule_axial_hole             1             1             1            17
         11217    module_L7t_halfmodule_axial_hole             1             1             2            17
         11317    module_L7t_halfmodule_axial_hole             1             1             3            17
         12117    module_L7t_halfmodule_axial_hole             1             2             1            17
         12217    module_L7t_halfmodule_axial_hole             1             2             2            17
         12317    module_L7t_halfmodule_axial_hole             1             2             3            17
         11119    module_L7t_halfmodule_axial_slot             1             1             1            19
         11219    module_L7t_halfmodule_axial_slot             1             1             2            19
         11319    module_L7t_halfmodule_axial_slot             1             1             3            19
         12119    module_L7t_halfmodule_axial_slot             1             2             1            19
         12219    module_L7t_halfmodule_axial_slot             1             2             2            19
         12319    module_L7t_halfmodule_axial_slot             1             2             3            19
         11118   module_L7t_halfmodule_stereo_hole             1             1             1            18
         11218   module_L7t_halfmodule_stereo_hole             1             1             2            18
         11318   module_L7t_halfmodule_stereo_hole             1             1             3            18
         12118   module_L7t_halfmodule_stereo_hole             1             2             1            18
         12218   module_L7t_halfmodule_stereo_hole             1             2             2            18
         12318   module_L7t_halfmodule_stereo_hole             1             2             3            18
         11120   module_L7t_halfmodule_stereo_slot             1             1             1            20
         11220   module_L7t_halfmodule_stereo_slot             1             1             2            20
         11320   module_L7t_halfmodule_stereo_slot             1             1             3            20
         12120   module_L7t_halfmodule_stereo_slot             1             2             1            20
         12220   module_L7t_halfmodule_stereo_slot             1             2             2            20
         12320   module_L7t_halfmodule_stereo_slot             1             2             3            20
         21161               module_L1b_fullmodule             2             1             1            61
         21261               module_L1b_fullmodule             2             1             2            61
         21361               module_L1b_fullmodule             2             1             3            61
         22161               module_L1b_fullmodule             2             2             1            61
         22261               module_L1b_fullmodule             2             2             2            61
         22361               module_L1b_fullmodule             2             2             3            61
         11161               module_L1t_fullmodule             1             1             1            61
         11261               module_L1t_fullmodule             1             1             2            61
         11361               module_L1t_fullmodule             1             1             3            61
         12161               module_L1t_fullmodule             1             2             1            61
         12261               module_L1t_fullmodule             1             2             2            61
         12361               module_L1t_fullmodule             1             2             3            61
         21162               module_L2b_fullmodule             2             1             1            62
         21262               module_L2b_fullmodule             2             1             2            62
         21362               module_L2b_fullmodule             2             1             3            62
         22162               module_L2b_fullmodule             2             2             1            62
         22262               module_L2b_fullmodule             2             2             2            62
         22362               module_L2b_fullmodule             2             2             3            62
         11162               module_L2t_fullmodule             1             1             1            62
         11262               module_L2t_fullmodule             1             1             2            62
         11362               module_L2t_fullmodule             1             1             3            62
         12162               module_L2t_fullmodule             1             2             1            62
         12262               module_L2t_fullmodule             1             2             2            62
         12362               module_L2t_fullmodule             1             2             3            62
         21163               module_L3b_fullmodule             2             1             1            63
         21263               module_L3b_fullmodule             2             1             2            63
         21363               module_L3b_fullmodule             2             1             3            63
         22163               module_L3b_fullmodule             2             2             1            63
         22263               module_L3b_fullmodule             2             2             2            63
         22363               module_L3b_fullmodule             2             2             3            63
         11163               module_L3t_fullmodule             1             1             1            63
         11263               module_L3t_fullmodule             1             1             2            63
         11363               module_L3t_fullmodule             1             1             3            63
         12163               module_L3t_fullmodule             1             2             1            63
         12263               module_L3t_fullmodule             1             2             2            63
         12363               module_L3t_fullmodule             1             2             3            63
         21164               module_L4b_fullmodule             2             1             1            64
         21264               module_L4b_fullmodule             2             1             2            64
         21364               module_L4b_fullmodule             2             1             3            64
         22164               module_L4b_fullmodule             2             2             1            64
         22264               module_L4b_fullmodule             2             2             2            64
         22364               module_L4b_fullmodule             2             2             3            64
         11164               module_L4t_fullmodule             1             1             1            64
         11264               module_L4t_fullmodule             1             1             2            64
         11364               module_L4t_fullmodule             1             1             3            64
         12164               module_L4t_fullmodule             1             2             1            64
         12264               module_L4t_fullmodule             1             2             2            64
         12364               module_L4t_fullmodule             1             2             3            64
         21165               module_L5b_fullmodule             2             1             1            65
         21265               module_L5b_fullmodule             2             1             2            65
         21365               module_L5b_fullmodule             2             1             3            65
         22165               module_L5b_fullmodule             2             2             1            65
         22265               module_L5b_fullmodule             2             2             2            65
         22365               module_L5b_fullmodule             2             2             3            65
         11165               module_L5t_fullmodule             1             1             1            65
         11265               module_L5t_fullmodule             1             1             2            65
         11365               module_L5t_fullmodule             1             1             3            65
         12165               module_L5t_fullmodule             1             2             1            65
         12265               module_L5t_fullmodule             1             2             2            65
         12365               module_L5t_fullmodule             1             2             3            65
         21166               module_L6b_fullmodule             2             1             1            66
         21266               module_L6b_fullmodule             2             1             2            66
         21366               module_L6b_fullmodule             2             1             3            66
         22166               module_L6b_fullmodule             2             2             1            66
         22266               module_L6b_fullmodule             2             2             2            66
         22366               module_L6b_fullmodule             2             2             3            66
         11166               module_L6t_fullmodule             1             1             1            66
         11266               module_L6t_fullmodule             1             1             2            66
         11366               module_L6t_fullmodule             1             1             3            66
         12166               module_L6t_fullmodule             1             2             1            66
         12266               module_L6t_fullmodule             1             2             2            66
         12366               module_L6t_fullmodule             1             2             3            66
         21167               module_L7b_fullmodule             2             1             1            67
         21267               module_L7b_fullmodule             2             1             2            67
         21367               module_L7b_fullmodule             2             1             3            67
         22167               module_L7b_fullmodule             2             2             1            67
         22267               module_L7b_fullmodule             2             2             2            67
         22367               module_L7b_fullmodule             2             2             3            67
         11167               module_L7t_fullmodule             1             1             1            67
         11267               module_L7t_fullmodule             1             1             2            67
         11367               module_L7t_fullmodule             1             1             3            67
         12167               module_L7t_fullmodule             1             2             1            67
         12267               module_L7t_fullmodule             1             2             2            67
         12367               module_L7t_fullmodule             1             2             3            67
         11180               front_support_top                 1             1             1            80
         11280               front_support_top                 1             1             2            80
         11380               front_support_top                 1             1             3            80
         12180               front_support_top                 1             2             1            80
         12280               front_support_top                 1             2             2            80
         12380               front_support_top                 1             2             3            80
         11190               back_support_top                  1             1             1            90
         11290               back_support_top                  1             1             2            90
         11390               back_support_top                  1             1             3            90
         12190               back_support_top                  1             2             1            90
         12290               back_support_top                  1             2             2            90
         12390               back_support_top                  1             2             3            90
         21180               front_support_bot                 2             1             1            80
         21280               front_support_bot                 2             1             2            80
         21380               front_support_bot                 2             1             3            80
         22180               front_support_bot                 2             2             1            80
         22280               front_support_bot                 2             2             2            80
         22380               front_support_bot                 2             2             3            80
         21190               back_support_bot                  2             1             1            90
         21290               back_support_bot                  2             1             2            90
         21390               back_support_bot                  2             1             3            90
         22190               back_support_bot                  2             2             1            90
         22290               back_support_bot                  2             2             2            90
         22390               back_support_bot                  2             2             3            90
